song_title,song_href
뻔하잖아 (YOU KNOW) (Feat. Okasian),https://vibe.naver.com/track/5806365
Toast,https://vibe.naver.com/track/42300584
Gotta Go,https://vibe.naver.com/track/42300583
Me Like Yuh (K)  (Feat. Hoody),https://vibe.naver.com/track/8944064
믿어줄래 (Full Melody Korean Ver.),https://vibe.naver.com/track/2235051
Teléfono Remix,https://vibe.naver.com/track/41952200
So Good (Feat. Common Ground),https://vibe.naver.com/track/4409930
"Birthday Remix (Feat. Ugly Duck, Woodie gochild, Hoody)",https://vibe.naver.com/track/20144951
Feature  (Feat. Cha Cha Malone),https://vibe.naver.com/track/8944004
Finish Line (Feat. SUPERBEE & Jvcki Wai),https://vibe.naver.com/track/22544047
Last Song,https://vibe.naver.com/track/42300575
"니가 알던 내가 아냐 (Remix) (Feat. 로꼬, 데이데이, 사이먼 도미닉)",https://vibe.naver.com/track/6204764
니가 싫어하는 노래 (MOST HATED),https://vibe.naver.com/track/18105122
Twist The Plot (Feat. 김심야),https://vibe.naver.com/track/43044035
"SOJU Remix (Feat. 사이먼 도미닉, 창모, Woodie Gochild)",https://vibe.naver.com/track/21424192
WestCoast,https://vibe.naver.com/track/27885362
우리가 빠지면 PARTY가 아니지,https://vibe.naver.com/track/6204761
4eva,https://vibe.naver.com/track/41952198
World Domination,https://vibe.naver.com/track/41952201
"WORLDWIDE (Feat. Dok2, The Quiett)",https://vibe.naver.com/track/5806367
All I Wanna Do,https://vibe.naver.com/track/8944058
CITY BREEZE,https://vibe.naver.com/track/6245407
Closed Case,https://vibe.naver.com/track/41952199
모든 것을 너에게 (Feat. KIRIN(기린)),https://vibe.naver.com/track/41689018
No Rush,https://vibe.naver.com/track/41952203
Check My Bio,https://vibe.naver.com/track/41952207
Limousine  (Feat. KRNFX),https://vibe.naver.com/track/8944098
Feng Shui (Prod. By Cha Cha Malone),https://vibe.naver.com/track/27324437
전화기를 꺼놔 Remix  (Feat. ELO),https://vibe.naver.com/track/8943896
곁에 있어주길 (STAY WITH ME),https://vibe.naver.com/track/7748014
Team,https://vibe.naver.com/track/41952206
H1GHR,https://vibe.naver.com/track/41952196
"Baddest Nice Guys (Feat. 사이먼 도미닉, DJ Light, DJ Wegun)",https://vibe.naver.com/track/28004383
AQUAMAN,https://vibe.naver.com/track/8944028
사실은,https://vibe.naver.com/track/8943886
"Nomad (Feat. sokodomo, 염따 & Ugly Duck)",https://vibe.naver.com/track/43044034
EL TORNADO,https://vibe.naver.com/track/21287049
"Finish Line Remix (Feat. pH-1, Woodie Gochild, HAON (김하온), Avatar Darko, Sik-K)",https://vibe.naver.com/track/25096966
Dance Like Jay Park Remix,https://vibe.naver.com/track/41952204
All The Way Up,https://vibe.naver.com/track/40174694
"BO$$ (Feat. Yultron, 로꼬, Ugly Duck)",https://vibe.naver.com/track/5806369
ON IT (Feat. DJ Wegun),https://vibe.naver.com/track/5806376
On Fire,https://vibe.naver.com/track/28251868
RUN IT (Feat. 우원재 ＆ 제시) (Prod. by GRAY),https://vibe.naver.com/track/20518595
"Say Goodbye (Feat. Sik-K, pH-1)",https://vibe.naver.com/track/28251871
Know Your Name (Feat. Dok2),https://vibe.naver.com/track/3141129
Me Like Yuh,https://vibe.naver.com/track/8943990
전화기를 꺼놔 (Turn Off Your Phone),https://vibe.naver.com/track/3141137
해피엔딩,https://vibe.naver.com/track/3182863
"나나 (NaNa) (Feat. 로꼬, AOMG)",https://vibe.naver.com/track/4338033
SEXY 4 EVA,https://vibe.naver.com/track/21484252
Call You Bae,https://vibe.naver.com/track/30790856
Out Of Place (Feat. 우원재 & 식케이),https://vibe.naver.com/track/43044033
Replay,https://vibe.naver.com/track/8943908
YACHT (Feat. Vic Mensa),https://vibe.naver.com/track/21484232
Sex Trip,https://vibe.naver.com/track/5361833
ㅎㄷㄷ (PUT'EM UP),https://vibe.naver.com/track/6204760
FOREVER (WITH DJ ALE MORA)  (Feat. Cha Cha Malone),https://vibe.naver.com/track/8943863
"LIFE (Feat. 팔로알토, 개코, DJ Wegun)",https://vibe.naver.com/track/5806366
MY (Feat. 릴보이),https://vibe.naver.com/track/5806360
"Ben Baller (Feat. UNEDUCATED KID, Ghoulavelii & BRADYSTREET) (Prod. By BOYCOLD)",https://vibe.naver.com/track/27324434
Wegun Is My DJ (Feat. pH-1 & GRAY),https://vibe.naver.com/track/43044032
We Be Wildin (Feat. HAON),https://vibe.naver.com/track/28251869
"도박 (Life Is a Gamble) Remix (Feat. pH-1, Sik-K, Double K)",https://vibe.naver.com/track/20144952
별 (Star),https://vibe.naver.com/track/3141135
"메트로놈 (METRONOME) (Feat. SIMON Dominic, GRAY)",https://vibe.naver.com/track/4184136
For Ourselves (Feat. Chloe DeVita) (Prod. By Mokyo),https://vibe.naver.com/track/27324440
Alone Tonight  (Feat. Sik-K),https://vibe.naver.com/track/8944193
Stutter (Feat. Ted Park) (Prod. By GroovyRoom),https://vibe.naver.com/track/27324430
Batmobile (Feat. Omega Sapien),https://vibe.naver.com/track/43044031
Eyes,https://vibe.naver.com/track/5614838
심해 DRIP (Deep Sea DRIP) (Feat. 펀치넬로),https://vibe.naver.com/track/43044030
"CHA CHA CYPHER (Feat. G2, 기리보이, VASCO, Dayday, 서출구, DJ Wegun)",https://vibe.naver.com/track/5806368
Forget About Tomorrow,https://vibe.naver.com/track/20555389
올라타,https://vibe.naver.com/track/4409912
"원해 (WANT IT) (Feat. 천재노창, 비프리)",https://vibe.naver.com/track/5806373
SOJU (Feat. 2 Chainz),https://vibe.naver.com/track/21338304
I Don't Disappoint,https://vibe.naver.com/track/8943954
"병신 (F*CKBOY) (Feat. Sik-K, BewhY, Ugly Duck)",https://vibe.naver.com/track/5806362
홀로 (Prod. By Slom),https://vibe.naver.com/track/27393623
Do What I Like (Feat. Chloe DeVita),https://vibe.naver.com/track/28004384
Girl Friend,https://vibe.naver.com/track/3141130
약속해,https://vibe.naver.com/track/4409938
Abandoned (Feat. 도끼),https://vibe.naver.com/track/2464689
K-TOWN,https://vibe.naver.com/track/30790854
I Got This,https://vibe.naver.com/track/8943935
Does She,https://vibe.naver.com/track/27736327
Twilight (Feat. Woo & Jarv Dee) (Prod. By Cha Cha Malone),https://vibe.naver.com/track/27324432
"나나 (Feat. LOCO, AOMG)",https://vibe.naver.com/track/4409911
"GRAYGROUND Cypher (Feat. King Leez, Anthony Danza, Keem Hyo-Eun, pH-1, Geo of Blue Scholars, Chaboom & DJ Wegun) (Prod. By GRAY)",https://vibe.naver.com/track/27324439
Nothing Matters (Prod. By Ugly Duck),https://vibe.naver.com/track/27393617
2nd THOTS,https://vibe.naver.com/track/8943811
WestCoast,https://vibe.naver.com/track/28251870
Only One  (Feat. Raz Simone),https://vibe.naver.com/track/8943838
WHEN (Feat. 타블로),https://vibe.naver.com/track/5806371
One Nation (Feat. Plastic Kid),https://vibe.naver.com/track/28004382
너 없이 안돼 (Acoustic Ver.),https://vibe.naver.com/track/3141138
다시 만나줘 (Re-Mastered),https://vibe.naver.com/track/4409934
별,https://vibe.naver.com/track/3116096
너 없이 안돼,https://vibe.naver.com/track/2464691
Aquaman,https://vibe.naver.com/track/6276640
우리가 빠지면 PARTY가 아니지 (Live at Off Route Fest 2019),https://vibe.naver.com/track/29970255
오늘밤 (Feat. 강민경 of 다비치),https://vibe.naver.com/track/2464690
Legacy (Feat. Gifted Gab & Shelby) (Prod. By GRAY),https://vibe.naver.com/track/27324441
Encore (Prod. By Slom),https://vibe.naver.com/track/27393628
K-TOWN,https://vibe.naver.com/track/27261160
"Don't Try Me (Feat. Ugly Duck, GRAY)",https://vibe.naver.com/track/5806370
Fade Away,https://vibe.naver.com/track/30790857
CHOSEN1,https://vibe.naver.com/track/21484248
"메트로놈 (Feat. SIMON Dominic, GRAY)",https://vibe.naver.com/track/4409916
Undefeated (Feat. The Flavr Blue) (Prod. By GRAY),https://vibe.naver.com/track/27324443
EVOLUTION (Feat. GRAY),https://vibe.naver.com/track/4409920
20/20,https://vibe.naver.com/track/30790853
MILLION,https://vibe.naver.com/track/21484249
What Up! (Feat. Don Flamingo) (Prod. By GRAY),https://vibe.naver.com/track/27324428
"FSU (Feat. GASHI, Rich The Kid)",https://vibe.naver.com/track/21453487
"Twisted Dreams (Feat. Jay Electronica, Joe Flizzow & DJ Wegun) (Prod. By GRAY)",https://vibe.naver.com/track/27324426
Get It All (Feat. Cha Cha Malone) (Prod. By Cha Cha Malone),https://vibe.naver.com/track/27324427
Know Your Name (Acoustic Ver.),https://vibe.naver.com/track/3141147
"미친놈 (SUCCESS CRAZED) (Feat. GRAY, LOCO, SIMON Dominic, Trinidad James)",https://vibe.naver.com/track/4409931
Welcome,https://vibe.naver.com/track/3774834
I Like 2 Party,https://vibe.naver.com/track/3865036
SOJU (Feat. 2 Chainz),https://vibe.naver.com/track/21484253
Killa,https://vibe.naver.com/track/30790855
Dior Socks,https://vibe.naver.com/track/42974753
I Got Your Back,https://vibe.naver.com/track/3141134
"WDFA (Feat. Masiwei & DZknow of Higher Brothers, Avatar Darko) (Prod. By GroovyRoom)",https://vibe.naver.com/track/27324433
Renaissance Man,https://vibe.naver.com/track/30790852
"B-BOY STANCE (Feat. Yankie, DJ Wegun, DJ Friz)",https://vibe.naver.com/track/5806364
Raw Sh!t (Prod. By DJ Wegun),https://vibe.naver.com/track/17303157
PLP (Feat. Far East Movement),https://vibe.naver.com/track/6204762
"FSU (Feat. GASHI, Rich The Kid)",https://vibe.naver.com/track/21484251
"WHO THE F*CK IS U (Feat. B-FREE, TAKEONE)",https://vibe.naver.com/track/4409923
비밀 (Re-Mastered),https://vibe.naver.com/track/4409939
Monster (Feat. Raz Simone) (Prod. By Charlie Heat),https://vibe.naver.com/track/27324436
In This B*tch,https://vibe.naver.com/track/5806375
SEATTLE 2 SEOUL,https://vibe.naver.com/track/5806377
ASK BOUT ME,https://vibe.naver.com/track/21484250
사실이야 (Feat. Dok2),https://vibe.naver.com/track/3774833
LOTTO (Remix) (Feat. 지구인),https://vibe.naver.com/track/5806372
Not the Same,https://vibe.naver.com/track/25290189
Count On Me (Full Melody English Ver.),https://vibe.naver.com/track/2235052
Doin' Me (Feat. Avatar Darko & Dolce Drako) (Prod. By BOYCOLD),https://vibe.naver.com/track/27324431
Plottin' (Feat. iLL Chris) (Prod. By BOYCOLD),https://vibe.naver.com/track/27324435
Go,https://vibe.naver.com/track/3141133
우리가 빠지면 PARTY가 아니지 (Clean Ver.),https://vibe.naver.com/track/6204765
Girl Friend,https://vibe.naver.com/track/2652125
Sun Comes Up (Feat. Fatal Lucciauno & Malitia Malimob) (Prod. By GRAY),https://vibe.naver.com/track/27324442
Hulk Hogan (헐크호건),https://vibe.naver.com/track/16476261
Demon,https://vibe.naver.com/track/2606548
Touch The Sky (Feat. 더 콰이엇),https://vibe.naver.com/track/2464688
다시만나줘 (Let's Make Up),https://vibe.naver.com/track/3865039
스피치리스 (Speechless),https://vibe.naver.com/track/2287424
Step Son (Feat. Nacho Picasso) (Prod. By JuniorChef & GroovyRoom),https://vibe.naver.com/track/27324438
Welcome (Re-Mastered),https://vibe.naver.com/track/4409909
놀러와 (Come On Over),https://vibe.naver.com/track/3141136
I Love You (Feat. Dynamic Duo),https://vibe.naver.com/track/3141132
I Got Your Back,https://vibe.naver.com/track/3116099
I Like 2 Party (Re-Mastered),https://vibe.naver.com/track/4409933
Summer Dream,https://vibe.naver.com/track/2650566
Level 1000 (With 도끼),https://vibe.naver.com/track/2464693
올라타 (Ride Me),https://vibe.naver.com/track/4184137
너 없이 안돼 (Guitar by 요한),https://vibe.naver.com/track/3116100
Know Your Name (Original Ver.) (Feat. Dok2),https://vibe.naver.com/track/3141150
베스티 (Bestie),https://vibe.naver.com/track/2287423
"AOM & 1llionaire (Feat. The Quiett, Dok2)",https://vibe.naver.com/track/3141139
"Clap (Feat. Tiger JK, 윤미래)",https://vibe.naver.com/track/3141142
"사실이야 (1hunnit) (Remix) (Feat. LOCO, Swings)",https://vibe.naver.com/track/4409927
Eyes,https://vibe.naver.com/track/5657400
비밀 (Secret),https://vibe.naver.com/track/3865038
Up And Down (Feat. Dok2),https://vibe.naver.com/track/3141131
믿어줄래 (Subman & KYU Remix),https://vibe.naver.com/track/2235053
Know Your Name (R&B Ver.),https://vibe.naver.com/track/3141149
NOWHERE,https://vibe.naver.com/track/6204763
훅 갔어 (Wasted) (Feat. Bizzy),https://vibe.naver.com/track/3141141
Hot Remix (with CHA CHA MALONE),https://vibe.naver.com/track/4409910
Know Your Name (Electronic Ver.),https://vibe.naver.com/track/3141148
해피엔딩,https://vibe.naver.com/track/3196652
正(정) (Feat. 예은 of 원더걸스),https://vibe.naver.com/track/804826
Summer Dream,https://vibe.naver.com/track/2624394
"Enjoy The Show (Feat. The Quiett, Dok2)",https://vibe.naver.com/track/3141140
베스티 (Bestie) (Remix),https://vibe.naver.com/track/2287425
GGG,https://vibe.naver.com/track/4409919
Hot (Re-Mastered),https://vibe.naver.com/track/4409937
Up And Down (Feat. Dok2),https://vibe.naver.com/track/3116098
HOT,https://vibe.naver.com/track/3865037
New Breed (Intro),https://vibe.naver.com/track/3141128
"Enjoy The Show (Feat. Dok2, The Quiett)",https://vibe.naver.com/track/3116097
Trip,https://vibe.naver.com/track/44788921
사랑이란 두 글자,https://vibe.naver.com/track/3185208
잠 못드는 밤 비는 내리고,https://vibe.naver.com/track/3166670
널 사랑하겠어,https://vibe.naver.com/track/3157320
아리송해,https://vibe.naver.com/track/3190482
빗속의 여인,https://vibe.naver.com/track/3342665
빈 잔 (남진),https://vibe.naver.com/track/3160970
신라의 달밤,https://vibe.naver.com/track/3194974
남자는 배 여자는 항구,https://vibe.naver.com/track/3784706
붉은 노을,https://vibe.naver.com/track/3791177
"Nothin' On You (Subman, KYU Remix)",https://vibe.naver.com/track/2439281
사랑의 미로,https://vibe.naver.com/track/3970272
